,precision,recall,f1-score,support
0,0.9881847475832438,0.9246231155778895,0.9553478712357218,995.0
1,0.896551724137931,0.9629629629629629,0.9285714285714286,891.0
11-20mm,0.328125,0.7590361445783133,0.45818181818181813,83.0
11-20mm;5-10mm,0.0,0.0,0.0,3.0
11-20mm;5-10mm;<5mm,0.0,0.0,0.0,0.0
11-20mm;5-10mm;>20mm,0.0,0.0,0.0,0.0
11-20mm;<5mm,0.0,0.0,0.0,2.0
11-20mm;>20mm,0.0,0.0,0.0,1.0
16,0.0,0.0,0.0,0.0
2,0.8609625668449198,0.7351598173515982,0.7931034482758621,219.0
3,0.0,0.0,0.0,8.0
4,0.0,0.0,0.0,5.0
5,0.0,0.0,0.0,1.0
5-10mm,0.4090909090909091,0.11392405063291139,0.1782178217821782,79.0
5-10mm;<5mm,0.0,0.0,0.0,7.0
5-10mm;>20mm,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
<5mm,0.18181818181818182,0.17647058823529413,0.17910447761194032,34.0
<5mm;>20mm,0.0,0.0,0.0,0.0
>20,0.0,0.0,0.0,11.0
>20mm,0.0,0.0,0.0,35.0
barretts,0.0,0.0,0.0,1.0
barretts; oesophagitis,0.0,0.0,0.0,6.0
biopsy forceps,0.391304347826087,0.32142857142857145,0.35294117647058826,28.0
biopsy forceps; metal clip,0.0,0.0,0.0,0.0
biopsy forceps; tube,0.0,0.0,0.0,0.0
black,0.0,0.0,0.0,1.0
black; grey; white,0.0,0.0,0.0,0.0
black; white,0.0,0.0,0.0,0.0
blue; green,0.0,0.0,0.0,0.0
blue; green; white,0.0,0.0,0.0,0.0
blue; red; flesh,0.0,0.0,0.0,0.0
brown; pink; white,0.0,0.0,0.0,0.0
brown; red,0.0,0.0,0.0,0.0
brown; red; pink,0.0,0.0,0.0,0.0
capsule endoscopy,0.0,0.0,0.0,0.0
cecum,0.0,0.0,0.0,27.0
center,0.0,0.0,0.0,18.0
center-left,0.0,0.0,0.0,1.0
center-left; center-right; lower-center; lower-left; lower-rigth; upper-center; upper-left; upper-right,0.0,0.0,0.0,6.0
center-left; center-right; lower-center; lower-left; lower-rigth; upper-center; upper-right,0.0,0.0,0.0,0.0
center-left; center-right; lower-center; lower-left; upper-center; upper-left; upper-right,0.0,0.0,0.0,0.0
center-left; center-right; lower-center; lower-right,0.0,0.0,0.0,0.0
center-left; center-right; lower-center; lower-rigth; upper-center; upper-left; upper-right,0.0,0.0,0.0,0.0
center-left; center-right; lower-left; lower-right; upper-center; upper-left; upper-right,0.0,0.0,0.0,0.0
center-left; center-right; lower-left; lower-right; upper-left; upper-right,0.0,0.0,0.0,0.0
center-left; center-right; upper-center,0.0,0.0,0.0,0.0
center-left; center-right; upper-center; upper-left,0.0,0.0,0.0,0.0
center-left; lower-center,0.0,0.0,0.0,0.0
center-left; lower-center; lower-left,0.0,0.0,0.0,1.0
center-left; lower-center; lower-left; lower-right; upper-center; upper-left,0.0,0.0,0.0,0.0
center-left; lower-center; lower-left; upper-center; upper-left,0.0,0.0,0.0,0.0
center-left; lower-center; lower-left; upper-center; upper-left; upper-right,0.0,0.0,0.0,0.0
center-left; lower-center; lower-left; upper-left,0.0,0.0,0.0,2.0
center-left; lower-center; upper-center,0.0,0.0,0.0,3.0
center-left; lower-center; upper-left,0.0,0.0,0.0,0.0
center-left; lower-left,0.0,0.0,0.0,2.0
center-left; lower-left; upper-center,0.0,0.0,0.0,0.0
center-left; lower-left; upper-center; upper-left; upper-right,0.0,0.0,0.0,0.0
center-left; lower-left; upper-left,0.0,0.0,0.0,8.0
center-left; upper-center,0.0,0.0,0.0,0.0
center-left; upper-center; upper-left,0.0,0.0,0.0,4.0
center-left; upper-left,0.0,0.0,0.0,11.0
center-right,0.0,0.0,0.0,6.0
center-right; lower-center,0.0,0.0,0.0,1.0
center-right; lower-center; lower-left; lower-rigth; upper-center; upper-left; upper-right,0.0,0.0,0.0,0.0
center-right; lower-center; lower-left; lower-rigth; upper-center; upper-right,0.0,0.0,0.0,0.0
center-right; lower-center; lower-right,0.0,0.0,0.0,1.0
center-right; lower-center; lower-right; upper-center; upper-right,0.0,0.0,0.0,0.0
center-right; lower-center; lower-right; upper-right,0.0,0.0,0.0,1.0
center-right; lower-center; lower-rigth,0.0,0.0,0.0,0.0
center-right; lower-center; lower-rigth; upper-center; upper-right,0.0,0.0,0.0,0.0
center-right; lower-center; upper-center,0.0,0.0,0.0,0.0
center-right; lower-center; upper-center; upper-right,0.0,0.0,0.0,0.0
center-right; lower-left; lower-rigth; upper-right,0.0,0.0,0.0,0.0
center-right; lower-right,0.0,0.0,0.0,6.0
center-right; lower-right; upper-right,0.0,0.0,0.0,5.0
center-right; lower-rigth,0.0,0.0,0.0,1.0
center-right; lower-rigth; upper-center; upper-left; upper-right,0.0,0.0,0.0,0.0
center-right; lower-rigth; upper-center; upper-right,0.0,0.0,0.0,0.0
center-right; lower-rigth; upper-right,0.0,0.0,0.0,0.0
center-right; upper-center; upper-left,0.0,0.0,0.0,0.0
center-right; upper-center; upper-left; upper-right,0.0,0.0,0.0,0.0
center-right; upper-center; upper-right,0.0,0.0,0.0,1.0
center-right; upper-right,0.0,0.0,0.0,6.0
center; center-left,0.0,0.0,0.0,3.0
center; center-left; center-right,0.0,0.0,0.0,1.0
center; center-left; center-right; lower-center,0.0,0.0,0.0,1.0
center; center-left; center-right; lower-center; lower-left,0.0,0.0,0.0,1.0
center; center-left; center-right; lower-center; lower-left; lower-right,0.0,0.0,0.0,1.0
center; center-left; center-right; lower-center; lower-left; lower-right; upper-center,0.0,0.0,0.0,0.0
center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left,0.0,0.0,0.0,1.0
center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,0.9203539823008849,0.9285714285714286,0.9244444444444444,336.0
center; center-left; center-right; lower-center; lower-left; lower-right; upper-center; upper-right,0.0,0.0,0.0,0.0
center; center-left; center-right; lower-center; lower-left; lower-right; upper-right,0.0,0.0,0.0,0.0
center; center-left; center-right; lower-center; lower-left; lower-rigth,0.0,0.0,0.0,2.0
center; center-left; center-right; lower-center; lower-left; lower-rigth; upper-center,0.0,0.0,0.0,0.0
center; center-left; center-right; lower-center; lower-left; lower-rigth; upper-center; upper-left,0.0,0.0,0.0,6.0
center; center-left; center-right; lower-center; lower-left; lower-rigth; upper-center; upper-left; upper-right,0.0,0.0,0.0,9.0
center; center-left; center-right; lower-center; lower-left; lower-rigth; upper-center; upper-right,0.0,0.0,0.0,1.0
center; center-left; center-right; lower-center; lower-left; lower-rigth; upper-left,0.0,0.0,0.0,0.0
center; center-left; center-right; lower-center; lower-left; lower-rigth; upper-right,0.0,0.0,0.0,1.0
center; center-left; center-right; lower-center; lower-left; upper-center,0.0,0.0,0.0,0.0
center; center-left; center-right; lower-center; lower-left; upper-center; upper-left,0.0,0.0,0.0,1.0
center; center-left; center-right; lower-center; lower-left; upper-center; upper-left; upper-right,0.0,0.0,0.0,7.0
center; center-left; center-right; lower-center; lower-left; upper-center; upper-right,0.0,0.0,0.0,0.0
center; center-left; center-right; lower-center; lower-left; upper-right,0.0,0.0,0.0,0.0
center; center-left; center-right; lower-center; lower-right,0.0,0.0,0.0,0.0
center; center-left; center-right; lower-center; lower-right; upper-center,0.0,0.0,0.0,0.0
center; center-left; center-right; lower-center; lower-right; upper-center; upper-left,0.0,0.0,0.0,1.0
center; center-left; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,0.5192307692307693,0.75,0.6136363636363638,36.0
center; center-left; center-right; lower-center; lower-right; upper-center; upper-right,0.0,0.0,0.0,1.0
center; center-left; center-right; lower-center; lower-right; upper-left,0.0,0.0,0.0,0.0
center; center-left; center-right; lower-center; lower-rigth,0.0,0.0,0.0,0.0
center; center-left; center-right; lower-center; lower-rigth; upper-center,0.0,0.0,0.0,1.0
center; center-left; center-right; lower-center; lower-rigth; upper-center; upper-left,0.0,0.0,0.0,1.0
center; center-left; center-right; lower-center; lower-rigth; upper-center; upper-left; upper-right,0.0,0.0,0.0,3.0
center; center-left; center-right; lower-center; lower-rigth; upper-center; upper-right,0.0,0.0,0.0,1.0
center; center-left; center-right; lower-center; upper-center,0.0,0.0,0.0,4.0
center; center-left; center-right; lower-center; upper-center; upper-left,0.0,0.0,0.0,3.0
center; center-left; center-right; lower-center; upper-center; upper-left; upper-right,0.0,0.0,0.0,4.0
center; center-left; center-right; lower-center; upper-center; upper-right,0.0,0.0,0.0,0.0
center; center-left; center-right; lower-center; upper-left,0.0,0.0,0.0,0.0
center; center-left; center-right; lower-left; lower-right; upper-center; upper-left; upper-right,0.0,0.0,0.0,0.0
center; center-left; center-right; lower-left; lower-rigth; upper-center; upper-right,0.0,0.0,0.0,0.0
center; center-left; center-right; lower-left; upper-center; upper-left; upper-right,0.0,0.0,0.0,1.0
center; center-left; center-right; lower-right,0.0,0.0,0.0,0.0
center; center-left; center-right; lower-right; upper-center; upper-left,0.0,0.0,0.0,0.0
center; center-left; center-right; lower-right; upper-center; upper-left; upper-right,0.0,0.0,0.0,0.0
center; center-left; center-right; lower-rigth; upper-center; upper-left,0.0,0.0,0.0,0.0
center; center-left; center-right; upper-center,0.0,0.0,0.0,1.0
center; center-left; center-right; upper-center; upper-left,0.0,0.0,0.0,3.0
center; center-left; center-right; upper-center; upper-left; upper-right,0.0,0.0,0.0,3.0
center; center-left; center-right; upper-center; upper-right,0.0,0.0,0.0,3.0
center; center-left; center-right; upper-right,0.0,0.0,0.0,0.0
center; center-left; lower-center,0.0,0.0,0.0,4.0
center; center-left; lower-center; lower-left,0.0,0.0,0.0,12.0
center; center-left; lower-center; lower-left; lower-right,0.0,0.0,0.0,0.0
center; center-left; lower-center; lower-left; lower-right; upper-center; upper-left,0.0,0.0,0.0,3.0
center; center-left; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,0.0,0.0,0.0,0.0
center; center-left; lower-center; lower-left; lower-right; upper-left,0.0,0.0,0.0,1.0
center; center-left; lower-center; lower-left; lower-rigth; upper-center; upper-left,0.0,0.0,0.0,1.0
center; center-left; lower-center; lower-left; upper-center,0.0,0.0,0.0,5.0
center; center-left; lower-center; lower-left; upper-center; upper-left,0.0,0.0,0.0,23.0
center; center-left; lower-center; lower-left; upper-center; upper-left; upper-right,0.0,0.0,0.0,0.0
center; center-left; lower-center; lower-left; upper-center; upper-right,0.0,0.0,0.0,0.0
center; center-left; lower-center; lower-left; upper-left,0.0,0.0,0.0,6.0
center; center-left; lower-center; lower-left; upper-right,0.0,0.0,0.0,0.0
center; center-left; lower-center; lower-right,0.0,0.0,0.0,1.0
center; center-left; lower-center; lower-right; upper-center; upper-left,0.0,0.0,0.0,1.0
center; center-left; lower-center; lower-right; upper-left,0.0,0.0,0.0,0.0
center; center-left; lower-center; lower-rigth; upper-center,0.0,0.0,0.0,0.0
center; center-left; lower-center; lower-rigth; upper-center; upper-right,0.0,0.0,0.0,0.0
center; center-left; lower-center; lower-rigth; upper-right,0.0,0.0,0.0,0.0
center; center-left; lower-center; upper-center,0.0,0.0,0.0,2.0
center; center-left; lower-center; upper-center; upper-left,0.0,0.0,0.0,9.0
center; center-left; lower-center; upper-center; upper-left; upper-right,0.0,0.0,0.0,1.0
center; center-left; lower-center; upper-center; upper-right,0.0,0.0,0.0,0.0
center; center-left; lower-center; upper-left,0.0,0.0,0.0,4.0
center; center-left; lower-left,0.0,0.0,0.0,1.0
center; center-left; lower-left; upper-center,0.0,0.0,0.0,0.0
center; center-left; lower-left; upper-center; upper-left,0.0,0.0,0.0,1.0
center; center-left; lower-left; upper-center; upper-left; upper-right,0.0,0.0,0.0,0.0
center; center-left; lower-left; upper-left,0.0,0.0,0.0,0.0
center; center-left; lower-right; upper-center; upper-left; upper-right,0.0,0.0,0.0,0.0
center; center-left; upper-center,0.0,0.0,0.0,2.0
center; center-left; upper-center; upper-left,0.21978021978021978,0.5555555555555556,0.31496062992125984,36.0
center; center-left; upper-center; upper-left; upper-right,0.0,0.0,0.0,1.0
center; center-left; upper-left,0.0,0.0,0.0,11.0
center; center-right,0.0,0.0,0.0,9.0
center; center-right; lower-center,0.0,0.0,0.0,6.0
center; center-right; lower-center; lower-left,0.0,0.0,0.0,1.0
center; center-right; lower-center; lower-left; lower-right,0.0,0.0,0.0,0.0
center; center-right; lower-center; lower-left; lower-right; upper-center; upper-left; upper-right,0.0,0.0,0.0,0.0
center; center-right; lower-center; lower-left; lower-right; upper-center; upper-right,0.0,0.0,0.0,0.0
center; center-right; lower-center; lower-left; lower-right; upper-right,0.0,0.0,0.0,0.0
center; center-right; lower-center; lower-left; lower-rigth,0.0,0.0,0.0,0.0
center; center-right; lower-center; lower-left; lower-rigth; upper-center,0.0,0.0,0.0,0.0
center; center-right; lower-center; lower-left; lower-rigth; upper-center; upper-left; upper-right,0.0,0.0,0.0,1.0
center; center-right; lower-center; lower-left; lower-rigth; upper-center; upper-right,0.0,0.0,0.0,0.0
