,precision,recall,f1-score,support
center; center-right; lower-center; lower-left; upper-center,0.0,0.0,0.0,0.0
center; center-right; lower-center; lower-left; upper-center; upper-left; upper-right,0.0,0.0,0.0,0.0
center; center-right; lower-center; lower-left; upper-center; upper-right,0.0,0.0,0.0,0.0
center; center-right; lower-center; lower-left; upper-left,0.0,0.0,0.0,0.0
center; center-right; lower-center; lower-left; upper-right,0.0,0.0,0.0,0.0
center; center-right; lower-center; lower-right,0.10497237569060773,0.7307692307692307,0.18357487922705315,26.0
center; center-right; lower-center; lower-right; upper-center,0.0,0.0,0.0,0.0
center; center-right; lower-center; lower-right; upper-center; upper-left,0.0,0.0,0.0,0.0
center; center-right; lower-center; lower-right; upper-center; upper-left; upper-right,0.0,0.0,0.0,0.0
center; center-right; lower-center; lower-right; upper-center; upper-right,0.0,0.0,0.0,12.0
center; center-right; lower-center; lower-right; upper-left,0.0,0.0,0.0,0.0
center; center-right; lower-center; lower-right; upper-right,0.0,0.0,0.0,9.0
center; center-right; lower-center; lower-rigth,0.0,0.0,0.0,5.0
center; center-right; lower-center; lower-rigth; upper-center,0.0,0.0,0.0,3.0
center; center-right; lower-center; lower-rigth; upper-center; upper-left,0.0,0.0,0.0,1.0
center; center-right; lower-center; lower-rigth; upper-center; upper-left; upper-right,0.0,0.0,0.0,1.0
center; center-right; lower-center; lower-rigth; upper-center; upper-right,0.0,0.0,0.0,10.0
center; center-right; lower-center; lower-rigth; upper-right,0.0,0.0,0.0,0.0
center; center-right; lower-center; upper-center,0.0,0.0,0.0,4.0
center; center-right; lower-center; upper-center; upper-left,0.0,0.0,0.0,0.0
center; center-right; lower-center; upper-center; upper-left; upper-right,0.0,0.0,0.0,1.0
center; center-right; lower-center; upper-center; upper-right,0.0,0.0,0.0,6.0
center; center-right; lower-center; upper-right,0.0,0.0,0.0,2.0
center; center-right; lower-left,0.0,0.0,0.0,0.0
center; center-right; lower-left; upper-right,0.0,0.0,0.0,0.0
center; center-right; lower-right,0.0,0.0,0.0,2.0
center; center-right; lower-right; upper-center,0.0,0.0,0.0,0.0
center; center-right; lower-right; upper-center; upper-right,0.0,0.0,0.0,1.0
center; center-right; lower-right; upper-right,0.0,0.0,0.0,0.0
center; center-right; lower-rigth; upper-center; upper-left; upper-right,0.0,0.0,0.0,0.0
center; center-right; lower-rigth; upper-center; upper-right,0.0,0.0,0.0,0.0
center; center-right; upper-center,0.0,0.0,0.0,1.0
center; center-right; upper-center; upper-left,0.0,0.0,0.0,3.0
center; center-right; upper-center; upper-left; upper-right,0.0,0.0,0.0,2.0
center; center-right; upper-center; upper-right,0.0,0.0,0.0,20.0
center; center-right; upper-left; upper-right,0.0,0.0,0.0,0.0
center; center-right; upper-right,0.0,0.0,0.0,8.0
center; lower-center,0.0,0.0,0.0,19.0
center; lower-center; lower-left,0.0,0.0,0.0,0.0
center; lower-center; lower-left; lower-right,0.0,0.0,0.0,2.0
center; lower-center; lower-left; lower-right; upper-right,0.0,0.0,0.0,0.0
center; lower-center; lower-left; upper-center,0.0,0.0,0.0,1.0
center; lower-center; lower-left; upper-center; upper-left,0.0,0.0,0.0,0.0
center; lower-center; lower-right,0.0,0.0,0.0,12.0
center; lower-center; lower-right; upper-center,0.0,0.0,0.0,0.0
center; lower-center; lower-right; upper-center; upper-left,0.0,0.0,0.0,0.0
center; lower-center; lower-right; upper-left,0.0,0.0,0.0,0.0
center; lower-center; lower-rigth,0.0,0.0,0.0,0.0
center; lower-center; upper-center,0.0,0.0,0.0,15.0
center; lower-center; upper-center; upper-left,0.0,0.0,0.0,0.0
center; lower-center; upper-center; upper-right,0.0,0.0,0.0,0.0
center; lower-left,0.0,0.0,0.0,0.0
center; lower-left; upper-center,0.0,0.0,0.0,0.0
center; lower-left; upper-center; upper-left,0.0,0.0,0.0,0.0
center; lower-right,0.0,0.0,0.0,0.0
center; lower-right; upper-center; upper-right,0.0,0.0,0.0,0.0
center; upper-center,0.189873417721519,0.42857142857142855,0.26315789473684215,35.0
center; upper-center; upper-left,0.0,0.0,0.0,8.0
center; upper-center; upper-left; upper-right,0.0,0.0,0.0,2.0
center; upper-center; upper-right,0.0,0.0,0.0,4.0
center; upper-left,0.0,0.0,0.0,1.0
center; upper-right,0.0,0.0,0.0,1.0
colonoscopy,0.9947368421052631,0.9982394366197183,0.9964850615114235,568.0
flesh,0.0,0.0,0.0,5.0
flesh; blue,0.0,0.0,0.0,0.0
flesh; blue; red,0.0,0.0,0.0,0.0
flesh; pink,0.0,0.0,0.0,1.0
flesh; pink; red,0.0,0.0,0.0,0.0
flesh; pink; red; yellow; orange,0.0,0.0,0.0,0.0
flesh; pink; white; red; yellow,0.0,0.0,0.0,0.0
flesh; pink; yellow,0.0,0.0,0.0,0.0
flesh; pink; yellow; red,0.0,0.0,0.0,0.0
flesh; red,0.0,0.0,0.0,6.0
flesh; red; orange,0.0,0.0,0.0,0.0
flesh; red; white,0.0,0.0,0.0,0.0
flesh; red; yellow,0.0,0.0,0.0,0.0
flesh; red; yellow; white,0.0,0.0,0.0,0.0
flesh; white,0.0,0.0,0.0,5.0
flesh; white; red,0.0,0.0,0.0,1.0
flesh; white; yellow,0.0,0.0,0.0,1.0
flesh; white; yellow; red,0.0,0.0,0.0,0.0
flesh; yellow,0.0,0.0,0.0,0.0
flesh; yellow; orange,0.0,0.0,0.0,0.0
flesh; yellow; red,0.0,0.0,0.0,0.0
flesh; yellow; white,0.0,0.0,0.0,0.0
gastroscopy,0.9955357142857143,0.9867256637168141,0.991111111111111,226.0
green; white,0.0,0.0,0.0,0.0
grey,0.0,0.0,0.0,0.0
grey; white,0.0,0.0,0.0,1.0
grey; white; red; pink,0.0,0.0,0.0,0.0
hemorrhoids,0.0,0.0,0.0,0.0
ileum,0.0,0.0,0.0,1.0
injection needle,0.0,0.0,0.0,1.0
lower-center,0.0,0.0,0.0,12.0
lower-center; lower-left,0.0,0.0,0.0,3.0
lower-center; lower-left; upper-center,0.0,0.0,0.0,0.0
lower-center; lower-left; upper-right,0.0,0.0,0.0,0.0
lower-center; lower-right,0.38181818181818183,0.8076923076923077,0.5185185185185185,26.0
lower-center; lower-right; upper-center; upper-left,0.0,0.0,0.0,0.0
lower-center; lower-right; upper-right,0.0,0.0,0.0,0.0
lower-center; lower-rigth,0.0,0.0,0.0,0.0
lower-center; upper-center,0.0,0.0,0.0,0.0
lower-left,0.0,0.0,0.0,1.0
lower-left; upper-right,0.0,0.0,0.0,0.0
lower-right,0.0,0.0,0.0,7.0
lower-right; upper-left,0.0,0.0,0.0,0.0
lower-right; upper-right,0.0,0.0,0.0,0.0
lower-rigth; upper-right,0.0,0.0,0.0,0.0
metal clip,0.0,0.0,0.0,2.0
metal clip; polyp snare,0.0,0.0,0.0,0.0
metal clip; tube,0.0,0.0,0.0,2.0
nan,1.0,1.0,1.0,10.0
no,0.9439546599496221,0.8997599039615847,0.9213275968039336,1666.0
none,0.8936451897616946,0.9773166023166023,0.9336099585062241,2072.0
not relevant,0.9144634525660964,0.930379746835443,0.9223529411764706,632.0
oesophagitis,0.9333333333333333,0.9940828402366864,0.9627507163323782,169.0
oesophagitis; polyp,0.0,0.0,0.0,2.0
oesophagitis; short-segment barretts,0.0,0.0,0.0,2.0
orange; brown,0.0,0.0,0.0,0.0
orange; flesh,0.0,0.0,0.0,0.0
orange; flesh; red,0.0,0.0,0.0,1.0
orange; flesh; white,0.0,0.0,0.0,1.0
orange; pink; white,0.0,0.0,0.0,0.0
orange; red; flesh,0.0,0.0,0.0,0.0
orange; yellow; pink,0.0,0.0,0.0,0.0
paris iia,0.0,0.0,0.0,50.0
paris iia; paris ip,0.0,0.0,0.0,0.0
paris iia; paris is,0.0,0.0,0.0,5.0
paris ip,0.3798449612403101,0.9702970297029703,0.5459610027855153,101.0
paris ip; paris is,0.0,0.0,0.0,8.0
paris is,0.0,0.0,0.0,98.0
pink,0.2879581151832461,0.9016393442622951,0.43650793650793657,61.0
pink; brown,0.0,0.0,0.0,1.0
pink; brown; white; flesh,0.0,0.0,0.0,0.0
pink; flesh,0.0,0.0,0.0,0.0
pink; green; yellow; white,0.0,0.0,0.0,0.0
pink; grey,0.0,0.0,0.0,0.0
pink; grey; green,0.0,0.0,0.0,0.0
pink; grey; red,0.0,0.0,0.0,0.0
pink; grey; white,0.0,0.0,0.0,0.0
pink; orange,0.0,0.0,0.0,0.0
pink; purple,0.0,0.0,0.0,0.0
pink; purple; white,0.0,0.0,0.0,0.0
pink; red,0.21875,0.09859154929577464,0.13592233009708737,71.0
pink; red; brown,0.0,0.0,0.0,3.0
pink; red; brown; orange,0.0,0.0,0.0,0.0
pink; red; brown; white,0.0,0.0,0.0,2.0
pink; red; brown; yellow,0.0,0.0,0.0,1.0
pink; red; green; yellow; white,0.0,0.0,0.0,0.0
pink; red; grey,0.0,0.0,0.0,0.0
pink; red; grey; white,0.0,0.0,0.0,1.0
pink; red; orange,0.0,0.0,0.0,3.0
pink; red; orange; brown,0.0,0.0,0.0,1.0
pink; red; white,0.5962566844919787,0.9449152542372882,0.7311475409836067,236.0
pink; red; white; black,0.0,0.0,0.0,0.0
pink; red; white; blue; grey,0.0,0.0,0.0,0.0
pink; red; white; brown,0.0,0.0,0.0,3.0
pink; red; white; grey,0.0,0.0,0.0,3.0
pink; red; white; grey; purple,0.0,0.0,0.0,0.0
pink; red; white; purple,0.0,0.0,0.0,0.0
pink; red; white; yellow,0.0,0.0,0.0,11.0
pink; red; white; yellow; green,0.0,0.0,0.0,0.0
pink; red; yellow,0.0,0.0,0.0,12.0
pink; red; yellow; black,0.0,0.0,0.0,1.0
pink; red; yellow; brown,0.0,0.0,0.0,0.0
pink; red; yellow; green; brown,0.0,0.0,0.0,0.0
pink; red; yellow; green; grey; black,0.0,0.0,0.0,0.0
pink; red; yellow; green; white; grey,0.0,0.0,0.0,0.0
pink; red; yellow; orange,0.0,0.0,0.0,1.0
pink; red; yellow; white,0.0,0.0,0.0,6.0
pink; red; yellow; white; blue; grey,0.0,0.0,0.0,0.0
pink; red; yellow; white; brown,0.0,0.0,0.0,0.0
pink; red; yellow; white; grey,0.0,0.0,0.0,0.0
pink; white,0.0,0.0,0.0,29.0
pink; white; brown,0.0,0.0,0.0,1.0
pink; white; grey,0.0,0.0,0.0,1.0
pink; white; orange,0.0,0.0,0.0,0.0
pink; white; purple,0.0,0.0,0.0,0.0
pink; white; red,0.0,0.0,0.0,6.0
pink; white; red; green,0.0,0.0,0.0,0.0
pink; white; red; yellow,0.0,0.0,0.0,1.0
pink; white; yellow,0.0,0.0,0.0,3.0
pink; white; yellow; black,0.0,0.0,0.0,0.0
pink; white; yellow; orange; black,0.0,0.0,0.0,0.0
pink; white; yellow; red,0.0,0.0,0.0,1.0
pink; yellow,0.0,0.0,0.0,12.0
pink; yellow; brown,0.0,0.0,0.0,0.0
pink; yellow; green; white,0.0,0.0,0.0,0.0
pink; yellow; orange,0.0,0.0,0.0,0.0
pink; yellow; purple,0.0,0.0,0.0,0.0
pink; yellow; red,0.0,0.0,0.0,0.0
pink; yellow; red; white,0.0,0.0,0.0,0.0
pink; yellow; white,0.0,0.0,0.0,10.0
pink; yellow; white; orange; black,0.0,0.0,0.0,0.0
pink; yellow; white; red,0.0,0.0,0.0,0.0
polyp,0.9959677419354839,0.9762845849802372,0.9860279441117764,253.0
polyp snare,0.0,0.0,0.0,11.0
polyp snare; tube,0.0,0.0,0.0,13.0
polyp; short-segment barretts,0.0,0.0,0.0,0.0
polyp; ulcerative colitis,0.0,0.0,0.0,1.0
purple,0.0,0.0,0.0,0.0
pylorus,0.0,0.0,0.0,2.0
red,0.0,0.0,0.0,1.0
red; brown; pink,0.0,0.0,0.0,1.0
red; brown; pink; orange,0.0,0.0,0.0,0.0
red; flesh,0.0,0.0,0.0,3.0
red; flesh; orange,0.0,0.0,0.0,0.0
red; flesh; purple,0.0,0.0,0.0,0.0
red; flesh; white,0.0,0.0,0.0,8.0
red; flesh; yellow,0.0,0.0,0.0,0.0
red; grey,0.0,0.0,0.0,0.0
red; orange; pink,0.0,0.0,0.0,0.0
red; pink,0.05555555555555555,0.03571428571428571,0.043478260869565216,28.0
red; pink; brown,0.0,0.0,0.0,1.0
red; pink; brown; white,0.0,0.0,0.0,1.0
red; pink; brown; yellow,0.0,0.0,0.0,0.0
red; pink; grey,0.0,0.0,0.0,1.0
red; pink; orange,0.0,0.0,0.0,4.0
red; pink; white,0.0,0.0,0.0,6.0
red; pink; white; brown,0.0,0.0,0.0,0.0
red; pink; white; grey,0.0,0.0,0.0,0.0
red; pink; white; yellow,0.0,0.0,0.0,0.0
red; pink; yellow,0.0,0.0,0.0,8.0
red; pink; yellow; brown,0.0,0.0,0.0,0.0
red; pink; yellow; white,0.0,0.0,0.0,1.0
red; white,0.0,0.0,0.0,1.0
red; white; flesh,0.0,0.0,0.0,1.0
red; white; pink,0.0,0.0,0.0,1.0
red; white; pink; yellow,0.0,0.0,0.0,0.0
red; yellow; flesh; white,0.0,0.0,0.0,0.0
red; yellow; pink,0.0,0.0,0.0,3.0
tube,0.6858638743455497,0.9703703703703703,0.803680981595092,135.0
ulcerative colitis,0.9688888888888889,0.990909090909091,0.9797752808988764,220.0
upper-center,0.0,0.0,0.0,9.0
upper-center; upper-left,0.0,0.0,0.0,7.0
upper-center; upper-right,0.0,0.0,0.0,2.0
upper-left,0.0,0.0,0.0,4.0
upper-left; upper-right,0.0,0.0,0.0,0.0
upper-right,0.0,0.0,0.0,2.0
white; blue,0.0,0.0,0.0,0.0
white; blue; pink,0.0,0.0,0.0,0.0
white; flesh,0.0,0.0,0.0,2.0
white; flesh; blue; red,0.0,0.0,0.0,0.0
white; flesh; orange,0.0,0.0,0.0,0.0
white; flesh; red,0.0,0.0,0.0,2.0
white; flesh; yellow,0.0,0.0,0.0,1.0
white; pink,0.0,0.0,0.0,1.0
white; pink; brown,0.0,0.0,0.0,0.0
white; pink; grey,0.0,0.0,0.0,0.0
white; pink; red,0.0,0.0,0.0,0.0
white; pink; red; brown,0.0,0.0,0.0,0.0
white; pink; yellow,0.0,0.0,0.0,0.0
white; purple,0.0,0.0,0.0,0.0
white; red,0.0,0.0,0.0,0.0
white; red; flesh,0.0,0.0,0.0,4.0
white; red; flesh; yellow,0.0,0.0,0.0,0.0
white; red; pink,0.0,0.0,0.0,1.0
white; red; pink; yellow,0.0,0.0,0.0,0.0
white; red; yellow,0.0,0.0,0.0,1.0
white; red; yellow; flesh,0.0,0.0,0.0,0.0
white; yellow,0.0,0.0,0.0,0.0
white; yellow; flesh,0.0,0.0,0.0,0.0
white; yellow; pink,0.0,0.0,0.0,0.0
white; yellow; pink; red,0.0,0.0,0.0,0.0
white; yellow; red; flesh,0.0,0.0,0.0,0.0
yellow,0.0,0.0,0.0,1.0
yellow; flesh; red,0.0,0.0,0.0,0.0
yellow; flesh; white,0.0,0.0,0.0,0.0
yellow; green; pink,0.0,0.0,0.0,0.0
yellow; pink,0.0,0.0,0.0,0.0
yellow; pink; brown,0.0,0.0,0.0,1.0
yellow; pink; red,0.0,0.0,0.0,0.0
yellow; red,0.0,0.0,0.0,0.0
yellow; red; flesh,0.0,0.0,0.0,0.0
yellow; white; flesh,0.0,0.0,0.0,0.0
yellow; white; pink,0.0,0.0,0.0,0.0
yellow; white; pink; red,0.0,0.0,0.0,1.0
yes,0.8878892733564013,0.9317356572258533,0.9092841956059533,1377.0
z-line,1.0,0.9939759036144579,0.9969788519637462,166.0
micro avg,0.8451996601529311,0.8451996601529311,0.8451996601529311,11770.0
macro avg,0.04170960939181393,0.04966383979504785,0.04348619277445472,11770.0
weighted avg,0.8090466790472297,0.8451996601529311,0.8209419891827987,11770.0
